amount,hour_of_day,day_of_week,payment_method,avg_transaction_amount,transaction_amount_deviation,transactions_last_10min,transactions_last_1hour,transactions_today,merchant_risk_score,first_time_merchant,new_device,device_type,location_distance,card_not_present,international_transaction,fraud
4683.03,7,6,2,12712.34,-8029.31,0,1,1,7,0,1,1,231.15,1,1,0
12938.09,3,4,2,7104.68,5833.41,3,3,6,7,0,1,0,162.76,0,0,0
16917.21,11,6,2,2066.81,14850.4,1,5,12,2,1,0,1,244.03,0,1,0
15906.05,7,2,2,9167.71,6738.34,1,1,8,2,1,1,1,241.07,0,0,0
4005.24,5,5,2,9946.04,-5940.8,3,3,10,2,1,0,0,59.87,1,1,0
6492.49,14,4,2,6145.43,347.06,1,5,9,9,1,1,1,368.1,0,0,1
5607.17,11,6,1,7528.77,-1921.6,2,1,12,1,1,1,1,360.57,0,1,0
7191.44,15,4,0,6084.3,1107.14,6,3,12,6,0,0,0,1730.79,0,0,0
14755.44,15,3,0,11464.89,3290.55,0,2,10,7,1,1,1,630.26,1,1,0
20511.31,20,1,2,10555.17,9956.14,3,5,5,9,0,0,1,782.2,1,0,0
10892.44,19,3,0,1189.73,9702.71,2,4,7,3,1,1,0,597.28,1,0,0
4824.22,19,0,2,1059.2,3765.02,3,1,11,9,1,0,0,181.97,0,1,1
8104.21,3,5,1,4309.64,3794.57,1,6,7,7,1,0,1,96.75,0,0,0
23062.7,10,4,0,8780.22,14282.48,1,2,11,5,0,1,1,842.88,0,0,0
8907.94,12,6,0,11182.94,-2275.0,4,2,7,5,1,0,0,364.88,1,1,0
6548.42,8,1,1,3777.98,2770.44,3,4,7,7,0,1,1,366.89,1,0,0
6994.26,3,6,1,4221.21,2773.05,1,1,7,6,0,1,1,188.88,0,1,0
10857.57,11,5,1,3957.17,6900.4,1,3,8,8,0,0,0,325.47,1,0,0
4128.16,8,4,0,4700.63,-572.47,1,3,10,9,1,0,0,364.68,0,1,0
5495.99,12,4,0,5638.43,-142.44,0,3,2,6,1,1,0,363.45,0,0,0
15748.86,15,3,1,3451.14,12297.72,2,3,7,3,1,1,0,558.42,1,0,0
10640.64,5,1,1,3947.17,6693.47,0,4,9,9,1,0,0,680.17,0,0,0
8975.8,9,1,1,6637.46,2338.34,2,4,6,2,1,0,0,434.85,1,1,0
16280.07,12,5,1,1584.36,14695.71,2,3,9,5,1,0,0,402.78,0,0,0
4573.43,6,4,1,16169.98,-11596.55,3,3,5,4,1,1,1,1017.07,1,1,0
6392.17,18,1,2,8615.98,-2223.81,3,4,7,2,0,1,0,315.15,0,0,0
10394.65,23,1,1,12338.91,-1944.26,2,3,5,6,0,0,0,74.25,0,0,0
10134.57,18,6,2,2306.79,7827.78,2,2,7,7,1,1,1,282.26,1,0,0
2129.23,16,5,0,3054.14,-924.91,2,3,8,2,1,0,0,245.44,1,0,0
5902.31,12,3,0,361.25,5541.06,3,3,11,3,0,0,0,758.97,0,1,1
7334.99,12,6,2,5188.97,2146.02,3,2,8,5,0,1,0,350.62,1,0,0
11223.03,20,6,1,5308.09,5914.94,2,3,8,9,1,1,0,327.43,0,1,1
10108.82,1,2,0,6156.38,3952.44,3,3,4,7,1,1,1,744.74,1,0,0
7861.96,9,0,1,976.55,6885.41,1,4,9,3,0,1,0,500.08,0,0,0
1070.53,21,2,1,4880.38,-3809.85,3,7,6,4,1,0,1,414.9,1,1,0
8163.36,12,1,2,6409.25,1754.11,2,3,9,7,1,1,1,45.59,0,0,0
8728.2,8,4,0,7143.9,1584.3,0,4,10,1,1,1,0,558.88,0,0,0
36489.99,0,0,0,3168.53,33321.46,1,3,6,4,0,0,0,88.86,0,1,0
7152.3,13,0,2,17764.94,-10612.64,0,4,4,1,1,1,1,429.72,0,0,0
10435.3,15,4,1,4189.28,6246.02,6,4,8,5,1,1,0,257.98,0,0,0
18101.06,19,0,1,5596.9,12504.16,0,2,4,2,0,1,0,61.34,0,1,0
14190.36,14,4,0,3814.48,10375.88,0,3,14,9,1,1,1,239.8,0,1,1
21064.02,0,0,2,3208.32,17855.7,0,3,6,3,0,0,0,739.96,1,1,1
2164.56,16,6,2,8006.26,-5841.7,1,1,7,5,1,0,1,324.56,0,0,0
3435.31,23,5,1,1026.29,2409.02,1,1,3,8,1,0,1,514.09,0,1,0
5186.34,12,5,1,8350.12,-3163.78,1,2,7,8,0,0,0,700.61,0,0,0
1796.59,14,2,2,5498.98,-3702.39,1,2,10,9,1,1,1,371.99,1,0,1
8783.79,15,6,0,4369.06,4414.73,5,4,9,3,1,0,1,490.86,0,0,0
3695.89,15,0,1,1685.58,2010.31,3,2,7,3,1,1,0,913.34,1,0,0
22876.04,1,3,2,5165.59,17710.45,2,2,8,4,1,1,1,1059.25,1,1,1
4231.0,16,4,2,7944.98,-3713.98,1,3,7,6,1,1,1,578.45,0,0,0
6422.52,10,6,2,5670.64,751.88,1,2,3,7,1,0,1,430.31,1,0,0
14764.81,7,0,0,4763.02,10001.79,1,1,3,1,0,1,0,455.1,0,0,0
2645.69,19,5,1,4133.8,-1488.11,0,3,12,2,1,0,0,349.62,0,0,0
1667.92,2,5,1,3507.1,-1839.18,1,2,4,3,0,1,0,186.6,0,0,0
9582.86,11,4,1,1810.06,7772.8,0,2,10,1,0,0,0,185.28,0,1,0
10125.95,19,3,0,7837.27,2288.68,3,2,3,3,0,0,0,321.02,0,1,0
14467.27,15,0,1,5962.42,8504.85,4,5,9,4,0,0,1,1269.49,0,1,0
12176.89,13,0,1,8189.99,3986.9,1,2,12,6,1,0,1,154.91,1,1,0
10401.12,15,3,1,3456.38,6944.74,0,2,7,5,1,1,1,184.1,1,1,0
4669.41,20,3,1,4380.85,288.56,1,3,7,6,0,0,0,1079.01,0,0,0
9924.22,16,3,0,1711.81,8212.41,0,3,7,9,0,0,1,320.05,0,1,0
10371.87,10,5,2,1090.79,9281.08,1,4,17,1,1,0,1,200.75,1,0,0
4520.42,16,4,2,5370.4,-849.98,2,3,6,3,1,1,0,221.29,0,0,0
27110.38,18,6,1,512.71,26597.67,0,4,6,8,1,1,0,250.37,1,1,1
11781.37,21,3,1,6444.61,5336.76,0,3,11,9,0,0,0,414.93,0,0,0
3492.31,0,4,1,3075.91,416.4,0,1,6,2,0,0,0,393.34,1,1,0
14516.39,11,2,0,19833.21,-5316.82,0,3,8,5,0,1,0,103.03,0,1,0
16226.98,14,0,1,5097.9,11129.08,0,3,10,3,1,1,0,488.12,1,1,0
11291.89,17,0,0,7573.15,3718.74,1,1,11,2,1,0,0,252.84,0,0,0
6847.6,22,1,1,2852.74,3994.86,4,3,7,9,1,1,1,595.89,1,0,1
4353.43,13,2,1,10926.15,-6572.72,2,2,10,5,1,1,1,102.58,0,1,0
7845.49,0,6,2,11520.47,-3674.98,2,0,7,9,1,0,1,367.88,0,0,0
10735.13,12,3,1,9745.38,989.75,3,0,4,1,1,0,1,1376.51,0,0,0
8417.54,14,3,0,17432.32,-9014.78,2,2,9,4,1,1,0,242.51,1,1,0
21677.64,6,6,2,1927.24,19750.4,2,4,11,1,0,0,0,397.39,1,1,1
13059.56,14,5,0,7979.59,5079.97,3,2,9,5,0,0,1,194.1,1,0,0
3934.6,19,2,2,2610.43,1324.17,1,4,9,5,0,1,1,183.49,1,0,0
3155.94,9,3,0,2007.53,1148.41,1,1,4,7,0,1,1,254.31,0,0,0
11851.76,13,1,2,4884.34,6967.42,2,3,2,7,0,1,0,203.04,1,0,0
6972.51,5,4,0,5995.1,977.41,0,3,9,8,0,0,1,261.3,0,0,0
13844.06,13,0,0,4619.98,9224.08,0,0,12,6,1,0,1,865.13,0,0,0
11776.53,23,2,1,1512.97,10263.56,3,1,9,3,0,1,0,225.59,1,0,1
7872.01,21,0,2,5266.13,2605.88,1,4,6,9,0,1,0,582.35,1,1,1
3975.3,11,4,2,4940.32,-965.02,0,3,8,5,0,0,1,61.28,0,0,0
1881.0,10,2,1,2082.44,-201.44,2,1,9,9,0,0,1,589.16,0,0,0
9793.1,19,4,0,13015.49,-3222.39,3,1,7,5,1,1,1,461.03,1,0,0
2601.26,21,3,0,16394.0,-13792.74,4,4,14,3,1,1,1,1085.25,0,1,0
3831.02,23,6,2,5524.92,-1693.9,1,3,6,7,1,0,1,455.49,0,0,0
9365.53,18,3,0,251.59,9113.94,2,6,15,9,1,0,0,105.01,0,1,0
8714.74,1,6,2,4985.06,3729.68,0,5,10,1,1,1,1,193.96,1,1,0
2918.61,21,3,2,10537.83,-7619.22,1,3,10,3,1,0,1,633.57,0,1,0
17461.63,19,4,0,5074.08,12387.55,2,3,9,7,0,1,0,506.76,0,1,0
17154.29,0,4,0,4588.6,12565.69,5,2,7,9,0,0,1,397.27,0,0,0
12119.57,7,4,0,8081.83,4037.74,1,2,11,4,1,0,0,33.3,0,1,0
12109.22,13,0,1,19992.64,-7883.42,2,1,7,5,1,1,0,897.14,0,0,0
12119.67,8,4,2,6413.71,5705.96,2,0,12,8,0,0,1,248.03,1,0,0
16132.8,1,3,0,5568.21,10564.59,3,6,13,4,1,1,0,204.85,0,0,0
13284.88,22,1,1,12136.66,1148.22,3,1,3,2,1,1,1,339.75,0,1,0
4273.99,4,4,0,7001.52,-2727.53,3,4,7,7,1,0,0,337.06,1,0,0
6896.24,22,1,2,15100.61,-8204.37,1,4,10,2,0,1,0,507.37,0,0,0
33982.66,7,6,1,2043.83,31938.83,0,1,7,6,0,0,1,363.27,0,0,0
1157.42,15,3,2,2070.13,-912.71,1,5,7,7,0,1,0,185.07,1,0,0
5643.15,21,4,0,2455.84,3187.31,2,2,16,8,0,1,1,452.71,0,1,1
17524.06,15,0,0,9302.18,8221.88,2,4,8,5,0,1,1,502.66,0,0,0
4516.33,12,0,0,6440.13,-1923.8,1,1,9,1,1,0,1,177.8,0,1,0
13534.9,19,6,1,4086.42,9448.48,1,3,9,3,0,1,1,46.59,0,0,0
8630.97,14,1,1,6473.72,2157.25,0,8,13,9,0,0,1,151.04,0,1,0
4795.22,0,5,1,10271.63,-5476.41,1,4,8,6,1,1,1,268.36,1,0,0
905.06,21,0,1,3915.52,-3010.46,4,0,4,5,1,1,0,106.5,1,1,0
9595.76,2,0,0,8538.29,1057.47,1,4,7,1,1,1,0,74.58,1,1,0
4193.05,5,0,0,3540.2,652.85,1,6,9,4,0,0,0,223.18,1,0,0
7614.44,21,3,0,1153.62,6460.82,1,2,8,5,0,1,1,718.41,1,1,0
12036.5,13,0,1,5077.92,6958.58,0,4,6,2,0,0,0,648.75,1,0,0
15264.06,3,2,1,1002.99,14261.07,0,1,3,5,0,1,0,138.99,1,1,0
5628.16,17,4,0,3867.3,1760.86,0,1,9,3,1,1,0,414.48,1,0,0
4787.51,14,6,0,5610.17,-822.66,0,2,6,8,0,0,1,261.47,1,0,0
2556.53,8,0,1,2473.94,82.59,1,2,6,1,0,0,1,150.27,0,0,0
15773.15,17,5,2,7616.8,8156.35,2,4,8,4,1,0,1,384.16,1,0,0
30908.63,2,5,0,4166.82,26741.81,2,3,2,9,1,1,1,183.43,1,0,1
16932.38,9,0,0,7784.58,9147.8,1,1,7,1,1,1,0,254.55,1,1,0
19478.01,16,0,0,4944.94,14533.07,0,5,3,6,0,1,0,305.1,1,1,0
4549.17,6,2,1,4276.95,272.22,2,6,8,6,0,0,0,233.9,0,1,0
11539.01,14,0,0,2490.57,9048.44,0,3,5,2,0,1,0,119.7,0,0,0
14400.35,0,0,0,5135.87,9264.48,2,3,7,1,1,0,1,409.13,1,1,0
3315.69,10,4,0,5643.49,-2327.8,2,3,9,1,0,1,0,290.75,0,1,0
23935.76,16,5,0,6546.28,17389.48,2,5,9,5,0,0,0,81.06,1,0,0
2091.07,4,2,0,6093.63,-4002.56,2,2,12,5,1,0,0,623.3,1,1,0
21528.29,6,5,2,1493.81,20034.48,0,3,8,7,0,1,1,263.19,1,1,1
2076.41,18,2,2,9970.28,-7893.87,3,4,5,9,0,0,0,136.43,1,0,0
3467.69,23,5,0,6717.07,-3249.38,4,3,11,4,0,1,0,209.17,1,1,0
11686.25,14,0,0,5239.14,6447.11,2,3,7,4,1,0,1,212.89,1,1,0
8792.07,2,5,0,6496.57,2295.5,1,3,5,7,1,0,0,662.69,1,0,0
6085.38,14,5,0,7398.49,-1313.11,3,0,10,9,0,1,0,902.39,0,0,1
23335.72,4,2,1,16873.13,6462.59,0,0,6,7,1,1,1,54.56,0,0,0
2624.86,22,6,1,3168.82,-543.96,2,3,3,8,0,0,0,525.47,1,1,0
7391.46,11,1,1,3243.18,4148.28,2,6,7,7,0,1,1,180.37,1,1,0
12736.98,19,2,2,1933.09,10803.89,1,6,14,9,1,0,0,1325.26,0,0,0
10281.9,4,2,0,710.68,9571.22,1,2,7,6,0,1,0,1171.21,1,1,0
4925.45,2,2,1,6841.15,-1915.7,0,5,10,9,1,0,0,509.95,1,0,0
5078.55,8,3,0,17326.13,-12247.58,2,2,3,3,1,1,0,648.49,0,1,0
15108.5,8,6,0,4018.28,11090.22,2,3,9,4,0,0,0,125.54,1,0,0
15593.46,6,3,2,11459.31,4134.15,2,0,4,9,1,1,1,262.02,1,0,1
10478.49,1,3,2,4070.13,6408.36,2,2,8,2,0,0,0,334.86,0,1,0
4045.86,22,2,1,11092.74,-7046.88,1,4,6,2,0,0,0,298.55,0,1,0
5215.17,22,1,1,6458.43,-1243.26,1,3,3,8,1,1,0,415.99,0,1,1
8199.14,20,2,2,5169.87,3029.27,1,6,6,6,0,1,1,374.48,0,0,0
9113.85,15,0,2,3202.36,5911.49,3,4,10,5,1,0,0,537.8,1,0,0
12387.18,8,1,0,5366.92,7020.26,4,4,8,2,1,1,0,848.69,0,1,0
7095.14,12,3,0,9172.79,-2077.65,1,5,9,1,0,1,0,371.27,0,1,0
14877.56,18,5,1,2863.72,12013.84,1,5,8,3,1,1,0,352.22,1,0,0
14764.74,19,5,1,4759.86,10004.88,4,0,9,6,0,1,0,512.86,1,0,0
19919.77,16,6,2,5883.6,14036.17,1,4,9,5,1,0,0,401.25,1,1,0
8469.65,5,4,1,8961.5,-491.85,1,2,10,6,0,0,0,757.84,0,0,0
10605.84,3,6,0,5484.5,5121.34,1,3,3,7,1,0,0,961.55,1,1,0
7521.18,0,1,2,4100.91,3420.27,1,5,9,7,1,1,0,448.04,0,1,0
4088.97,17,3,0,6170.85,-2081.88,2,2,8,3,1,1,0,116.18,0,0,0
30450.48,18,1,2,10914.48,19536.0,0,3,10,8,0,0,1,482.36,1,0,0
18267.08,8,1,2,6979.24,11287.84,1,2,9,8,0,1,1,161.91,0,1,1
14559.21,12,5,0,4854.65,9704.56,2,6,10,3,1,0,1,509.77,1,1,0
8254.53,7,2,1,5292.86,2961.67,0,1,5,6,0,0,1,236.8,1,1,0
3779.74,22,0,1,2039.2,1740.54,2,2,7,9,0,0,0,665.38,0,0,0
16345.47,12,4,1,8451.49,7893.98,2,3,8,1,1,0,1,167.01,0,0,0
7419.67,14,3,1,1536.58,5883.09,2,4,4,2,0,1,1,427.06,0,0,0
11293.08,10,1,0,3592.16,7700.92,0,1,11,2,0,0,1,773.35,1,0,0
5198.45,11,4,2,4422.43,776.02,1,2,3,5,1,1,0,382.15,1,0,0
10016.71,13,1,0,3585.92,6430.79,1,2,15,6,1,0,1,714.66,1,1,0
5470.66,3,5,1,2129.81,3340.85,2,2,9,3,1,1,1,1050.14,0,0,0
5647.6,0,0,1,2917.63,2729.97,1,3,6,4,0,1,1,740.19,1,0,0
9922.75,23,5,0,1447.36,8475.39,3,3,13,2,0,0,0,310.08,0,1,1
2045.33,3,4,2,13868.35,-11823.02,1,0,13,3,1,1,0,304.1,1,0,0
2149.85,18,3,0,3273.21,-1123.36,4,5,7,8,0,1,1,215.52,0,1,1
4502.87,8,1,0,3014.83,1488.04,0,4,8,5,0,1,1,906.06,1,1,0
7030.08,9,0,0,17270.7,-10240.62,0,4,5,2,0,1,0,299.14,1,1,0
15185.96,3,5,2,1093.35,14092.61,1,0,5,2,1,0,1,500.73,1,1,0
7342.98,19,4,0,7545.07,-202.09,1,3,13,4,0,0,1,405.94,1,1,0
8214.4,8,5,0,5206.79,3007.61,1,4,7,9,1,0,1,447.28,0,1,0
6605.47,12,1,1,2160.71,4444.76,5,2,9,6,0,0,0,649.93,1,1,0
10594.87,11,1,0,5495.62,5099.25,0,1,6,1,0,0,1,166.29,1,1,0
4052.9,10,3,1,15367.45,-11314.55,0,2,8,4,0,1,1,375.88,0,1,0
7650.82,11,0,1,7501.04,149.78,1,4,6,3,0,0,0,247.58,1,0,0
11204.62,17,2,1,6820.88,4383.74,0,3,13,1,1,1,1,180.85,1,1,0
9865.15,11,5,2,1676.85,8188.3,3,2,6,6,1,0,0,369.53,1,1,1
8414.88,15,1,1,2506.14,5908.74,2,2,7,1,1,1,1,683.86,1,0,0
8492.55,4,4,0,1189.64,7302.91,2,3,10,1,1,0,1,318.58,1,1,0
11978.95,19,5,0,5339.78,6639.17,1,2,6,7,0,1,0,192.21,0,1,0
31391.0,11,3,1,5171.53,26219.47,0,3,9,1,0,0,1,89.11,0,0,0
4296.68,20,3,1,2520.13,1776.55,2,1,9,3,0,0,0,826.08,0,0,0
31966.76,10,1,0,9202.81,22763.95,2,5,4,5,1,0,0,418.23,0,1,0
4128.95,8,1,1,1564.72,2564.23,0,1,4,3,0,0,0,330.07,0,1,0
767.57,17,1,2,2701.96,-1934.39,0,3,10,6,1,0,1,87.49,0,1,0
5379.45,2,6,1,5472.97,-93.52,1,3,12,9,1,1,1,272.77,0,0,1
10739.75,19,2,2,1772.58,8967.17,3,2,13,2,1,0,1,174.7,0,1,1
27257.98,16,1,2,3943.87,23314.11,2,2,8,7,0,0,1,185.0,1,0,0
3775.32,13,5,2,2876.9,898.42,4,3,12,4,0,1,1,280.27,1,1,0
11929.04,0,5,1,6083.72,5845.32,1,4,9,6,0,0,1,123.51,1,1,0
2386.2,16,6,2,1428.07,958.13,3,3,6,6,1,1,0,317.79,0,0,0
26626.95,7,6,2,563.56,26063.39,2,0,9,8,0,1,0,1177.05,0,1,1
18500.4,4,0,1,1702.22,16798.18,0,2,5,7,1,1,0,252.58,0,1,0
5656.88,4,4,2,9301.97,-3645.09,0,1,12,5,1,0,1,539.87,0,0,0
20483.46,8,1,1,8838.58,11644.88,2,1,9,7,1,1,0,185.19,0,1,0
7615.63,2,5,0,2260.85,5354.78,2,3,14,6,0,0,0,255.7,1,0,0
19149.1,18,6,2,4751.71,14397.39,2,2,9,5,0,1,1,415.15,1,0,0
8367.23,22,5,1,5071.13,3296.1,1,2,5,9,0,1,1,688.47,1,1,1
8640.29,8,5,0,1350.86,7289.43,3,3,6,4,0,0,0,432.19,0,0,1
5752.69,21,6,2,2939.93,2812.76,2,2,5,7,1,1,0,352.53,1,0,0
13035.04,17,2,2,4263.9,8771.14,1,3,4,7,1,0,0,347.89,1,1,0
9134.21,15,6,1,431.58,8702.63,4,3,5,3,0,0,0,97.27,0,1,1
12114.63,0,6,0,5454.22,6660.41,2,2,6,8,0,1,0,56.43,1,1,1
1835.27,1,4,1,7093.31,-5258.04,0,4,11,9,0,1,1,679.58,1,1,1
19600.65,13,6,2,5893.13,13707.52,1,2,6,5,1,1,0,655.07,0,1,0
22891.46,13,3,2,8280.04,14611.42,1,3,5,1,0,0,1,315.89,0,1,0
9102.53,0,6,2,6841.03,2261.5,2,2,9,1,1,0,1,1794.56,1,1,0
29968.53,15,5,2,9157.3,20811.23,2,2,6,5,1,0,1,44.94,1,1,1
25575.21,14,1,0,633.76,24941.45,1,2,9,2,0,0,0,463.55,1,1,1
13231.96,14,5,0,3645.46,9586.5,1,3,15,2,0,1,1,281.64,0,0,0
20657.47,11,4,1,2047.88,18609.59,1,3,8,6,0,1,1,482.4,0,1,0
17202.62,15,3,1,657.13,16545.49,1,3,5,5,0,0,0,95.57,0,1,0
1355.65,13,6,1,4468.44,-3112.79,0,2,7,2,0,1,1,359.95,1,0,0
6712.48,23,2,2,9498.99,-2786.51,2,3,10,5,0,0,0,124.11,0,0,0
13876.15,14,0,1,3046.74,10829.41,3,1,9,4,0,0,0,629.1,0,0,1
23886.29,22,6,0,6372.57,17513.72,2,4,10,6,0,1,0,329.67,0,1,0
2222.22,14,1,1,11520.65,-9298.43,0,4,7,1,1,0,0,485.46,0,1,0
1464.95,18,0,1,4070.26,-2605.31,3,2,9,3,0,0,1,158.07,1,0,0
7979.89,7,2,0,10299.41,-2319.52,2,1,8,5,0,0,0,64.45,1,0,0
844.31,1,4,0,9619.89,-8775.58,0,3,10,8,0,0,1,417.75,1,1,0
7771.2,1,4,2,6232.27,1538.93,2,3,14,2,1,1,1,444.66,0,0,0
10930.77,9,2,0,1631.4,9299.37,0,2,4,8,1,0,0,217.02,0,1,0
3619.63,2,5,0,618.29,3001.34,2,4,9,8,0,0,1,385.74,0,1,0
7935.25,22,2,1,2733.13,5202.12,1,4,11,6,0,0,0,304.29,1,0,0
16144.24,16,6,0,3466.4,12677.84,2,2,10,5,0,0,1,783.91,1,1,0
5357.77,7,1,2,4067.92,1289.85,2,4,7,7,1,0,1,38.99,1,1,0
4191.61,22,3,1,7637.44,-3445.83,3,3,6,6,0,1,0,860.81,0,1,0
7661.37,3,6,2,2630.44,5030.93,1,1,7,9,0,0,0,365.0,1,0,0
3277.93,13,6,0,7780.75,-4502.82,1,4,9,2,1,1,0,174.54,1,1,0
28537.05,20,6,2,14446.61,14090.44,3,0,8,6,1,1,1,518.06,1,1,1
8563.04,9,0,2,4344.08,4218.96,2,5,12,7,0,0,1,318.78,1,0,0
4583.51,0,0,0,5787.34,-1203.83,2,1,9,1,1,1,1,396.23,1,0,0
9792.29,3,4,0,13860.8,-4068.51,0,4,7,9,1,1,0,208.39,1,1,1
7629.08,0,6,1,8495.17,-866.09,3,2,6,8,0,1,0,497.19,1,0,1
6986.81,16,5,1,2706.79,4280.02,1,1,9,5,1,1,0,137.9,0,0,0
5356.6,16,4,1,15211.79,-9855.19,2,5,9,5,0,0,0,293.37,1,1,0
5141.67,6,1,0,5690.07,-548.4,0,3,8,9,0,0,1,520.9,0,1,0
1880.18,22,2,2,2981.83,-1101.65,2,2,4,2,0,0,0,49.24,0,1,0
20636.7,19,0,2,1003.44,19633.26,1,2,4,6,0,1,1,1128.39,0,1,0
12636.51,14,6,1,2658.71,9977.8,3,7,6,4,1,0,1,274.15,0,0,1
10508.23,12,1,1,5508.35,4999.88,2,4,8,4,1,0,1,199.0,0,0,0
7534.6,1,4,0,2052.57,5482.03,2,2,3,8,0,1,1,314.81,1,1,1
3561.96,18,4,2,2354.5,1207.46,1,0,5,3,1,0,1,169.03,1,0,0
4342.49,23,0,1,11911.12,-7568.63,3,2,8,8,1,0,0,665.53,0,0,0
2111.39,12,4,0,5759.07,-3647.68,1,1,6,5,1,0,1,260.89,0,0,0
4817.71,23,5,1,1194.79,3622.92,2,2,7,2,0,0,0,989.63,1,0,0
3120.07,10,4,0,8025.69,-4905.62,2,3,6,5,1,1,1,310.04,0,0,0
24656.73,21,3,2,623.16,24033.57,2,3,8,4,1,0,1,175.31,0,1,0
15418.08,14,2,0,5508.05,9910.03,1,3,8,9,1,1,0,130.92,0,0,1
8842.79,9,4,1,5005.98,3836.81,1,4,10,6,0,0,1,972.83,0,0,0
3918.47,8,3,1,20047.38,-16128.91,1,1,9,3,1,1,1,646.17,1,1,0
3270.99,8,1,2,9990.71,-6719.72,3,4,16,2,1,0,1,1097.28,0,0,0
7164.09,19,4,2,4798.2,2365.89,1,4,10,7,0,0,1,417.89,0,0,0
15855.42,0,5,1,8944.14,6911.28,2,2,6,1,1,0,0,409.16,1,0,0
2173.2,16,1,1,694.14,1479.06,1,4,8,5,1,1,1,530.01,1,1,0
12521.1,11,6,1,4962.41,7558.69,2,6,5,5,0,0,1,118.49,1,1,0
4799.5,9,4,2,2874.18,1925.32,3,6,9,4,1,1,1,525.76,1,1,0
5567.86,4,0,1,5410.61,157.25,1,2,10,3,0,0,1,477.33,1,1,0
8650.48,17,3,2,593.21,8057.27,3,2,11,9,0,1,0,134.43,1,0,1
4038.07,14,3,1,7868.57,-3830.5,1,0,7,4,1,1,0,983.1,0,1,0
6884.13,5,0,0,6868.78,15.35,2,3,4,9,1,0,0,474.75,1,1,0
3740.59,6,2,0,10217.5,-6476.91,0,1,5,7,0,0,1,39.25,0,1,0
5137.21,16,6,1,3454.96,1682.25,3,5,6,9,0,1,1,420.63,1,0,1
14222.22,5,5,0,8082.44,6139.78,2,5,14,2,1,0,1,314.75,1,1,0
8991.11,7,3,2,16076.0,-7084.89,3,3,10,2,1,1,1,1108.76,0,1,0
14185.34,11,1,0,3897.7,10287.64,0,2,8,8,1,1,1,156.63,0,1,1
